Factor,Complexity Layer,Extraction Method,Regex/Pattern Used,Formula Component,Weight/Points,Max Contribution,Description,Code Example,Example Impact
Lines of Code,Structural,Smart line counting with filtering,"Custom lineCounter() method - excludes empty lines and all comment types (// and /* */)",(totalLinesOfCode / 1000) * 20,20% weight,20 points,"Counts only actual code lines, excluding empty lines and all Rust comments (single-line // and multi-line /* */)","pub fn transfer() {\n    // This comment ignored\n    let amount = 100; // Only 2 lines counted\n}","1000 code lines = 20 points, 500 code lines = 10 points"
Number of Functions,Structural,Regex pattern matching,/fn\s+\w+/g,(numFunctions / 50) * 20,20% weight,20 points,"Counts all function definitions including pub and private functions","pub fn initialize() {}\nfn helper_function() {}","50 functions = 20 points, 10 functions = 4 points"
Number of Programs,Structural,Regex pattern matching,/#\[program\]/g,Not used in scoring,0 points,0 points,"Counts Solana program definitions marked with #[program] attribute","#[program]\npub mod my_program {}","Informational only - 2 programs detected"
State Variables,Structural,Complex regex parsing,/#\[account\]\s*pub\s+struct\s+\w+\s*\{[^}]*\}/g then /pub\s+\w+:/g,Not used in scoring,0 points,0 points,"Counts fields in #[account] structs, fallback to all struct/enum definitions","#[account]\npub struct UserAccount {\n    pub balance: u64,\n    pub owner: Pubkey\n}","2 state variables found in UserAccount"
Average Cyclomatic Complexity,Structural,Function boundary detection + decision point counting,/(?:pub\s+)?fn\s+\w+[^{]*\{/g + control flow patterns,(avgCyclomaticComplexity / 5) * 30,30% weight,30 points,"Calculates complexity per function by counting decision points (if/else/match/loops/&&/||)","pub fn process() {\n    if condition {\n        match value {\n            1 => {},\n            2 => {}\n        }\n    }\n}","Function complexity = 4 (base=1 + if=1 + match=1 + 2arms-1=1)"
Max Cyclomatic Complexity,Structural,Function boundary detection + decision point counting,Same as avg complexity calculation,(maxCyclomaticComplexity / 10) * 30,30% weight,30 points,"Finds the highest complexity among all functions in the codebase","Most complex function with nested if/match statements","Max complexity 10 = 30 points, complexity 8 = 24 points"
Total Cyclomatic Complexity,Structural,Sum of all function complexities,Sum of individual function complexities,Not used in scoring,0 points,0 points,"Total complexity across all functions in the codebase","Sum of all function complexities","Total complexity of 45 across 8 functions"
Composition Depth,Structural,Simplified estimation,Fixed value of 1,Not used in scoring,0 points,0 points,"Inheritance/composition depth - currently simplified to 1","struct A { b: B }\nstruct B { c: C }","Depth of 2 levels detected"
Function Visibility (Public),Structural,Regex pattern matching,/pub\s+fn/g,Not used in scoring,0 points,0 points,"Counts functions marked as public","pub fn public_function() {}","5 public functions found"
Function Visibility (Private),Structural,Negative lookahead regex,/(?<!pub\s)fn/g,Not used in scoring,0 points,0 points,"Counts functions without pub modifier","fn private_helper() {}","3 private functions found"
Function Visibility (Internal),Structural,Not implemented,N/A,Not used in scoring,0 points,0 points,"Internal visibility not applicable in Rust","N/A - Rust uses pub/private only","0 internal functions (Rust concept)"
View Functions,Structural,Simplified to 0,Fixed value,Not used in scoring,0 points,0 points,"Read-only functions - simplified implementation","// Not implemented for Rust","0 view functions (Solidity concept)"
Pure Functions,Structural,Set to numFunctions,Same as function count,Not used in scoring,0 points,0 points,"Functions without side effects - simplified to all functions","// All functions assumed pure","8 pure functions assumed"
